"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C2,C3,C4,C5,C7","0.1uF","~","Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm","6",""
"C6","10uF 16V","~","Capacitor_THT:CP_Radial_D4.0mm_P2.00mm","1",""
"C8","100uF16V","~","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","1",""
"CN1","LD0","~","Connector_PinHeader_2.54mm:PinHeader_2x08_P2.54mm_Vertical","1",""
"CN2","IO_PAR","~","Connector_Molex:Molex_SL_171971-0009_1x09_P2.54mm_Vertical","1",""
"CN3","LA0","~","Connector_PinHeader_2.54mm:PinHeader_2x08_P2.54mm_Vertical","1",""
"CN4","IN_PAR","~","Connector_Molex:Molex_SL_171971-0009_1x09_P2.54mm_Vertical","1",""
"CN5","LC0","~","Connector_PinHeader_2.54mm:PinHeader_2x08_P2.54mm_Vertical","1",""
"CN6","LA1","~","Connector_PinHeader_2.54mm:PinHeader_2x08_P2.54mm_Vertical","1",""
"D1","1S2076","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","1",""
"J1","Barrel_Jack_Switch","~","Connector_BarrelJack:BarrelJack_Kycon_KLDX-0202-xC_Horizontal","1",""
"J2","Serial","~","Connector_Molex:Molex_SL_171971-0006_1x06_P2.54mm_Vertical","1",""
"JP1","MEMS","~","Jumper:SolderJumper-3_P1.3mm_Bridged12_RoundedPad1.0x1.5mm","1",""
"JP2","MEMS2","~","Jumper:SolderJumper-3_P1.3mm_Bridged12_RoundedPad1.0x1.5mm","1",""
"JP3","CPUS","~","Jumper:SolderJumper-3_P1.3mm_Bridged12_RoundedPad1.0x1.5mm","1",""
"LED1","OSX05201","","0-OLDCPU-ELSE:DIP-10_W7.62mm-WIDE","1",""
"R1","10R5","~","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","1",""
"R2,R4,R5,R6,R8,R9","10R2","~","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","6",""
"R3","100","~","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","1",""
"R7,RN4","47R2","http://www.vishay.com/docs/31509/csc.pdf,~","Resistor_THT:R_Array_SIP5,Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","2",""
"R10","47R3","~","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","1",""
"RN1,RN2","10R3","http://www.vishay.com/docs/31509/csc.pdf","Resistor_THT:R_Array_SIP9","2",""
"RN3","22R3","http://www.vishay.com/docs/31509/csc.pdf","Resistor_THT:R_Array_SIP5","1",""
"SW1","RESET","~","Button_Switch_THT:SW_PUSH_6mm","1",""
"U1","M50747ESP","","0-OLDCPU-ELSE:SDIP64-750mil","1",""
"U2","BS62LV256PIP70","http://ww1.microchip.com/downloads/en/DeviceDoc/doc0006.pdf","Package_DIP:DIP-28_W15.24mm","1",""
"U3","AT28C256","http://ww1.microchip.com/downloads/en/DeviceDoc/doc0006.pdf","Package_DIP:DIP-28_W15.24mm","1",""
"U4","74LS139","http://www.ti.com/lit/ds/symlink/sn74ls139a.pdf","Package_DIP:DIP-16_W7.62mm","1",""
"U5","PIC12F1822-IP","http://ww1.microchip.com/downloads/en/DeviceDoc/41413B.pdf","Package_DIP:DIP-8_W7.62mm","1",""
"Y1","8MHz","~","Crystal:Resonator-3Pin_W7.0mm_H2.5mm","1",""
